field_name,Date,Location,Disturbance,Collector,Moonlight,Forest_cover,Height,Tree_Height,Wind,Rain,Temperature,Humidity,Ae_orb_count,An_ait_count,An_bar_count,An_sp_count,An_bal_count,An_lat_count,An_maca_count,An_macu_count,An_wat_count,Arm_co_count,Arm_ju_count,Arm_sp_count,Col_pse_count,Coq_cr_count,Cx_sit_count,Cx_vis_count,Cx_Lop_count,Do_gan_count,Pr_ost_count,Ph_pro_count,Stg_al_count,Stg_sp_count,Ve_sp_count
1,08/04/2014,E_652,Twice,M,60.6,76.11,Ground,26.9,None,None,26.08,99.37,0,3,0,2,23,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
2,08/04/2014,E_652,Twice,H,60.6,76.11,Canopy,26.9,None,None,26.1,92.54,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10/04/2014,E_652,Twice,H,86,76.11,Ground,26.9,Low,Low,27.58,98.6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
4,10/04/2014,E_652,Twice,M,86,76.11,Canopy,26.9,Low,Low,27.48,92.53,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,12/04/2014,E_652,Twice,H,92.3,76.11,Ground,26.9,None,Low,22.89,98.62,0,0,0,0,34,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12/04/2014,E_652,Twice,Z,92.3,76.11,Canopy,26.9,None,Low,23.35,92.53,0,0,0,1,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,21/04/2014,E_650,Twice,H,66.5,76.93,Ground,23.9,Medium,None,23.64,98.62,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,21/04/2014,E_650,Twice,M,66.5,76.93,Canopy,23.9,Medium,None,25.48,91.36,0,0,0,0,6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,22/04/2014,E_650,Twice,M,54.8,76.93,Ground,23.9,None,None,25.89,97.13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,22/04/2014,E_650,Twice,H,54.8,76.93,Canopy,23.9,None,None,26.35,85.01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,23/04/2014,E_650,Twice,H,42.9,76.93,Ground,23.9,None,None,25.26,94.88,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,23/04/2014,E_650,Twice,Z,42.9,76.93,Canopy,23.9,None,None,25.6,91.33,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,24/04/2014,E_650,Twice,Z,31.4,76.93,Ground,23.9,Low,Medium,24.95,99.7,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,24/04/2014,E_650,Twice,H,31.4,76.93,Canopy,23.9,Low,Medium,24.85,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,07/05/2014,VJR_768,VJR,M,53,89.11,Ground,39.4,None,None,25.2,85.5,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,07/05/2014,VJR_768,VJR,H,53,89.11,Canopy,39.4,None,None,27.04,71.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,08/05/2014,VJR_768,VJR,H,62.8,89.11,Ground,39.4,None,None,25.83,94.63,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,08/05/2014,VJR_768,VJR,M,62.8,89.11,Canopy,39.4,None,None,27.1,81.84,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,09/05/2014,E_659,Twice,H,72.1,84.72,Ground,22.4,None,None,23.26,98.63,0,1,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
20,09/05/2014,E_659,Twice,M,72.1,84.72,Canopy,22.4,None,None,25.04,83.9,0,0,0,1,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,10/05/2014,E_659,Twice,M,80.7,84.72,Ground,22.4,None,None,24.58,90.75,0,7,0,0,42,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1
22,10/05/2014,E_659,Twice,H,80.7,84.72,Canopy,22.4,None,None,25.41,86.03,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0
23,14/05/2014,E_652,Twice,Z,100,76.11,Ground,26.9,None,None,23.26,97.25,0,0,0,5,44,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,14/05/2014,E_652,Twice,H,100,76.11,Canopy,26.9,None,None,24.41,91.58,0,0,0,1,20,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,17/05/2014,E_650,Twice,H,95,76.93,Ground,23.9,None,Low,23.58,98.25,0,1,0,0,5,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
26,17/05/2014,E_650,Twice,Z,95,76.93,Canopy,23.9,None,Low,23.91,93.43,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,19/05/2014,E_652,Twice,H,79.5,76.11,Ground,26.9,None,Medium,23.7,96.13,0,0,0,1,21,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,19/05/2014,E_652,Twice,M,79.5,76.11,Canopy,26.9,None,Medium,24.91,92.48,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,27/05/2014,VJR_768,VJR,H,3,89.11,Ground,39.4,None,None,25.01,98.63,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,27/05/2014,VJR_768,VJR,Z,3,89.11,Canopy,39.4,None,None,24.79,93.83,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,29/05/2014,VJR_768,VJR,Z,0.3,89.11,Ground,39.4,None,None,24.45,99,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,29/05/2014,VJR_768,VJR,H,0.3,89.11,Canopy,39.4,None,None,24.66,96.96,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33,30/05/2014,E_659,Twice,M,2.3,84.72,Ground,22.4,None,None,23.7,99,0,1,2,2,37,0,6,5,3,0,0,0,0,0,1,1,0,1,0,0,0,1,0
34,30/05/2014,E_659,Twice,H,2.3,84.72,Canopy,22.4,None,None,23.85,96.71,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,31/05/2014,E_659,Twice,H,6.2,84.72,Ground,22.4,None,None,25.64,95.75,1,3,0,0,9,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
36,31/05/2014,E_659,Twice,Z,6.2,84.72,Canopy,22.4,None,None,25.54,86.46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
37,01/06/2014,E_659,Twice,H,11.9,84.72,Ground,22.4,None,None,23.7,99,0,2,0,0,17,0,6,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
38,01/06/2014,E_659,Twice,Z,11.9,84.72,Canopy,22.4,None,None,24.29,90.85,0,0,0,0,11,1,5,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,3
39,09/06/2014,Da_Tree_1,Primary,H,84,90.5,Ground,48.4,None,None,25.6,99,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,09/06/2014,Da_Tree_1,Primary,M,84,90.5,Canopy,48.4,None,None,22.13,90.54,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,10/06/2014,Da_Tree_1,Primary,Z,91.3,90.5,Ground,48.4,None,None,26,97.25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,10/06/2014,Da_Tree_1,Primary,H,91.3,90.5,Canopy,48.4,None,None,20.97,91.53,0,0,0,0,3,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,11/06/2014,Da_Tree_1,Primary,H,96.7,90.5,Ground,48.4,None,Medium,26.5,93.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,11/06/2014,Da_Tree_1,Primary,Z,96.7,90.5,Canopy,48.4,None,Medium,23.9,95.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,13/06/2014,Da_Tree_1,Primary,H,100,90.5,Ground,48.4,None,Medium,24,97.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,13/06/2014,Da_Tree_1,Primary,M,100,90.5,Canopy,48.4,None,Medium,23.9,95.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,14/06/2014,Da_Tree_1,Primary,H,99.5,90.5,Ground,48.4,Low,None,24.8,98.88,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,14/06/2014,Da_Tree_1,Primary,Z,99.5,90.5,Canopy,48.4,Low,None,24.88,97.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,17/06/2014,Da_Tree_2,Primary,Z,81.7,93.41,Ground,51.4,None,None,23.5,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,17/06/2014,Da_Tree_2,Primary,H,81.7,93.41,Canopy,51.4,None,None,23.28,97.84,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51,18/06/2014,Da_Tree_2,Primary,H,71.4,93.41,Ground,51.4,None,None,24.3,98.36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,18/06/2014,Da_Tree_2,Primary,M,71.4,93.41,Canopy,51.4,None,None,24.77,93.38,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,19/06/2014,Da_Tree_2,Primary,M,60,93.41,Ground,51.4,Low,Medium,26,98.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,19/06/2014,Da_Tree_2,Primary,H,60,93.41,Canopy,51.4,Low,Medium,26.34,97.78,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,21/06/2014,Da_Tree_2,Primary,H,37.1,93.41,Ground,51.4,None,None,26.4,98.88,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,21/06/2014,Da_Tree_2,Primary,Z,37.1,93.41,Canopy,51.4,None,None,26.74,91.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,24/06/2014,Da_Tree_3,Primary,H,10.4,93.44,Ground,36.4,None,None,23.6,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,24/06/2014,Da_Tree_3,Primary,Z,10.4,93.44,Canopy,36.4,None,None,24.66,80.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,25/06/2014,Da_Tree_3,Primary,H,4.9,93.44,Ground,36.4,None,None,24.4,98.63,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,25/06/2014,Da_Tree_3,Primary,H,4.9,93.44,Canopy,36.4,None,None,23.98,96.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,26/06/2014,Da_Tree_3,Primary,Z,1.5,93.44,Ground,36.4,Low,None,25.2,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,26/06/2014,Da_Tree_3,Primary,M,1.5,93.44,Canopy,36.4,Low,None,24.7,97.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,28/06/2014,Da_Tree_3,Primary,Z,0.9,93.44,Ground,36.4,None,None,25.8,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,28/06/2014,Da_Tree_3,Primary,M,0.9,93.44,Canopy,36.4,None,None,25.45,68.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,30/06/2014,VJR_769,VJR,Z,8,84.26,Ground,29.4,None,None,24.7,98,0,1,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,30/06/2014,VJR_769,VJR,M,8,84.26,Canopy,29.4,None,None,24.91,93.33,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,01/07/2014,VJR_769,VJR,H,14,84.26,Ground,29.4,None,Low,24.2,98.5,0,0,0,0,12,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,01/07/2014,VJR_769,VJR,Z,14,84.26,Canopy,29.4,None,Low,23.54,97.71,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,02/07/2014,VJR_769,VJR,Z,21.3,84.26,Ground,29.4,None,None,25.45,98.38,0,0,1,0,22,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,02/07/2014,VJR_769,VJR,H,21.3,84.26,Canopy,29.4,None,None,25.6,92.01,0,0,0,0,1,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
71,03/07/2014,VJR_769,VJR,H,29.9,84.26,Ground,29.4,None,Medium,23.2,98.5,0,0,0,0,14,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,03/07/2014,VJR_769,VJR,Z,29.9,84.26,Canopy,29.4,None,Medium,23.04,98.21,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,04/07/2014,VJR_765,VJR,H,39.3,89.11,Ground,39.4,None,None,25.51,99,0,6,0,1,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,04/07/2014,VJR_765,VJR,M,39.3,89.11,Canopy,39.4,None,None,24.6,96.34,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,05/07/2014,VJR_765,VJR,M,49.3,89.11,Ground,39.4,None,None,24.7,99,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,05/07/2014,VJR_765,VJR,H,49.3,89.11,Canopy,39.4,None,None,24.73,95.15,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
77,06/07/2014,VJR_765,VJR,H,59.7,89.11,Ground,39.4,Low,Medium,24.08,99,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
78,06/07/2014,VJR_765,VJR,M,59.7,89.11,Canopy,39.4,Low,Medium,24.35,89.88,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,07/07/2014,VJR_765,VJR,M,70,89.11,Ground,39.4,None,Low,24.14,98.75,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80,07/07/2014,VJR_765,VJR,H,70,89.11,Canopy,39.4,None,Low,24.16,96.03,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
