Occasion,Date,Trap ID,Species,Recapture (R/N) ,Tag no.,Age,Sex,Sexing Notes,HF,E,AGD,HB,T,Tail % of HB,MZ,Bag Weight (g),Gross Weight,Net Weight,Parasites (number of ectoparasites visible with naked eye),Injuries ,Dead,Tissue Sample ID,Parasite Sample ID,Fur Sample ID,Faecal Sample ID (1),Faecal Sample ID (2),Processor,Who Baited,Other Notes,Flagged
OG2-E-2011-1,12/05/2011,OG2-E-11A,BS,N,O41781A59C,SA,M?,,32,18.7,11.35,,,,,21,90,69,55,,,,,,,,,,,
OG2-E-2011-1,12/05/2011,OG2-E-16B,LTG,N,O41781555A,A,M,,43.6,21.8,33.8,,,,,21,350,329,11,,,,,,,,,,,
OG2-E-2011-1,12/05/2011,OG2-E-6B,BS,N,O41781776A,SA,F,,34,21.1,9.35,,,,,21,100,79,41,,,,,,,,,,,
OG2-E-2011-1,12/05/2011,OG2-E-7A,LTG,N,O417819C15,A,F,,44,20.85,14.5,,,,,21,375,354,9.5,,,,,,,,,,,
OG2-E-2011-1,12/05/2011,OG2-E-9B,BS,N,O417816C9C,SA,M,,33,17.7,18.95,,,,,21,97,76,40.5,,,,,,,,,,,
OG2-E-2011-2,13/05/2011,OG2-E-11B,BS,N,O41781884E,A,F,,36.1,10.1,10.2,,,,,24,97,73,31.5,,,,,,,,,,,
OG2-E-2011-2,13/05/2011,OG2-E-13A,RS,N,O417819766,SA,M?,,39.3,20.7,18.55,,,,,23,138,115,70,,,,,,,,,,,
OG2-E-2011-2,13/05/2011,OG2-E-15B,BS,N,O417817849,A,M?,,36.5,19.25,8.95,,,,,23,107,84,61,,,,,,,,,,,
OG2-E-2011-2,13/05/2011,OG2-E-16A,BS,N,O4178155O7,SA,F?,,36.6,20.4,10.1,,,,,24,99,75,32,Tail caught in spring - cut off,,,,,,,,,,
OG2-E-2011-2,13/05/2011,OG2-E-6B,BS,R,O41781A59C,SA,M?,,,,,,,,,,,,,,,,,,,,,,,
OG2-E-2011-2,13/05/2011,OG2-E-7A,LTG,R,O417819C15,A,F,,,,,,,,,,,,,,,,,,,,,,,
OG2-E-2011-2,13/05/2011,OG2-E-7B,LTG,N,O417818FDO,A,M,,46.2,22.8,29.65,,,,,24,370,346,7.5,,,,,,,,,,,
OG2-E-2011-2,13/05/2011,OG2-E-9B,LTG,R,O41781555A,A,M,,,,,,,,,,,,,,,,,,,,,,,
OG2-E-2011-3,14/05/2011,OG2-E-11B,BS,R,O41781A59C,SA,M?,,,,,,,,,,,,,,,,,,,,,,,
OG2-E-2011-3,14/05/2011,OG2-E-13A,RS,R,O417819766,SA,M?,,,,,,,,,,,,,,,,,,,,,,,
OG2-E-2011-3,14/05/2011,OG2-E-15B,BS,N,O41781A852,SA,M?,,35.9/35.35,19.5,12.5,,,,,24,102,78,,Slit from old wound on right ear,,,,,,,,,,
OG2-E-2011-3,14/05/2011,OG2-E-16A,BS,R,O417816C9C,SA,M,,,,,,,,,,,,,,,,,,,,,,,
OG2-E-2011-3,14/05/2011,OG2-E-7A,LTG,R,O417818FDO,A,M,,,,,,,,,,,,,,,,,,,,,,,
OG2-E-2011-3,14/05/2011,OG2-E-7B,LTG,R,O417819C15,A,F,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-1,09/06/2011,OG2-W-20A,LTG,N,O41781991A,A,F?,,43.3,23.9,16.3,,,,,20,323,303,14,,,33,,,,,,,Missing right eye,
OG2-W-2011-1,09/06/2011,OG2-W-20B,BS,N,O41781A8O7,A,F,,36.9,20.25,8.2,,,,,20,90,70,79,Tip of tail broken,,40,,,,,,,"Clear ankle rings, brown stripe",
OG2-W-2011-1,09/06/2011,OG2-W-25A,RS,N,O41781A9CB,A,M?,,39.4,24,18.5,,,,,20,151,131,128,,,39,,,,,,,,
OG2-W-2011-1,09/06/2011,OG2-W-25B,LTG,N,O4178163DD,A,M,,45.6,25.8,31.2,,,,,20,336,316,35,,,36,,,,,,,,
OG2-W-2011-1,09/06/2011,OG2-W-28B,LTG,N,O41781AD38,A,F,Y,43.6,26.5,15.3,,,,,19,345,326,49,,,34,,,,,,,,
OG2-W-2011-1,09/06/2011,OG2-W-33A,BS,N,O4178181OC,A,M,,37.1,20.3,18.85,,,,,19,106,87,68,,,38,,,,,,,"No dark line, clear ankle rings",
OG2-W-2011-1,09/06/2011,OG2-W-35A,BS,N,O4178171O9,A,M,,36.5,21.2,18.3,,,,,19,95,76,60,,,41,,,,,,,,
OG2-W-2011-1,09/06/2011,OG2-W-36B,LTG,N,O4178164F7,A,F,,43.8,2.21,12.15,,,,,20,223,203,10,,,35,,,,,,,,
OG2-W-2011-1,09/06/2011,OG2-W-3A,BS,N,O417819F4D,A,M,,38.1,21.25,20.9,,,,,10,107,87,36,,,42,,,,,,,,
OG2-W-2011-1,09/06/2011,OG2-W-43B,BS,N,O4178182OE,A,F,,34.7,21.45,7.95,,,,,20,98,78,31,,,37,,,,,,,White spot of fur on forehead,
OG2-W-2011-1,09/06/2011,OG2-W-4B,BS,N,O4178193O2,SA,M,,35.4,23.1,11.7,,,,,20,95,75,43,,,44,,,,,,,,
OG2-W-2011-1,09/06/2011,OG2-W-5A,BS,N,O4173C1O4O,A,M,,36.2,20.6,21.9,,,,,19,94,75,50,,,43,,,,,,,,
OG2-W-2011-1,09/06/2011,OG2-W-6B,LTG,N,O41781B2D9,A,F,Y,45.2,26.3,18.9,,,,,20,305,285,4,,,32,,,,,,,,
OG2-W-2011-1,09/06/2011,OG2-W-9B,LTG,N,O41781DECF,A,F?,,41.5,20.9,17.4,,,,,20,266,246,9,Slightly cut tail on spring,,31,,,,,,,,
OG2-W-2011-2,10/06/2011,OG2-W-13B,LTG,R,O41781991A,A,F?,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-2,10/06/2011,OG2-W-1A,BS,N,O417816D92,A,F,Y,37.35,20.9,10.3,,,,,20,108,88,109,,,,,,,,,,,
OG2-W-2011-2,10/06/2011,OG2-W-1B,RS,N,O417818A33,A,M,,43,25.4,22.7,,,,,15,151,136,121,,,,,,,,,,,
OG2-W-2011-2,10/06/2011,OG2-W-23A,BS,N,O41781A8C6,A,M?,,34.75,20.55,12.8,,,,,19,99,80,57,,,,,,,,,,,
OG2-W-2011-2,10/06/2011,OG2-W-25B,RS,N,O41781F5D6,SA,F,,39.5,24.4,11.7,,,,,14,100,,104,,,,,,,,,,,
OG2-W-2011-2,10/06/2011,OG2-W-26B,LTG,R,O4178163DD,A,M,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-2,10/06/2011,OG2-W-2B,WH,N,O417816OBE,A,F,,26,17.4,6.5,,,,,19,50,31,24,,,,,,,,,,,
OG2-W-2011-2,10/06/2011,OG2-W-31A,WH,N,O417815CC1,A,M,,26.75,17.25,11.5,,,,,19,60,41,42,,,,,,,,,,,
OG2-W-2011-2,10/06/2011,OG2-W-33A,BS,R,O4178181OC,A,M,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-2,10/06/2011,OG2-W-43B,LTG,R,O41781AD38,A,F,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-2,10/06/2011,OG2-W-45A,BS,N,O417819242,A,F,Y,37,23,12.5,,,,,14,163,149,174,,,,,,,,,,,
OG2-W-2011-2,10/06/2011,OG2-W-5B,BS,N,O417815DED,A,M?,,36.05,21.75,12.1,,,,,19,101,82,52,Tear in left ear + end of tail missing,,,,,,,,,,
OG2-W-2011-2,10/06/2011,OG2-W-9A,BS,N,O417818EAE,SA,M,,35.5,23,13.4,,,,,14,113,99,95,,,,,,,,,,,
OG2-W-2011-3,11/06/2011,OG2-W-19A,BS,N,O41781AC33,SA,M,,34.7,21.6,11.1,,,,,19,127,108,81,,,48,,,,,,,,
OG2-W-2011-3,11/06/2011,OG2-W-1B,RS,R,O417818A33,A,M,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-3,11/06/2011,OG2-W-24B,LTG,R,O4178163DD,A,M,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-3,11/06/2011,OG2-W-26B,RS,R,O41781A9CB,A,M?,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-3,11/06/2011,OG2-W-37A,WH,R,O417815CC1,A,M,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-3,11/06/2011,OG2-W-46A,LTG,R,O41781AD38,A,F,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-3,11/06/2011,OG2-W-47B,BS,N,O417817247,A,M,,37.8,21.7,20,,,,,19,111,92,63,,,47,,,,,,,,
OG2-W-2011-3,11/06/2011,OG2-W-48B,RS,N,O417817OB4,SA,F,,39.2,23.5,9.05,,,,,19,124,105,122,,,46,,,,,,,Collar incomplete,
OG2-W-2011-3,11/06/2011,OG2-W-5A,LTG,N,O41781D563,A,M,Y,45.8,24.7,31.3,,,,,19,296,277,36,injured tail from trap,,45,,,,,,,,
OG2-W-2011-3,11/06/2011,OG2-W-6A,LTG,R,O41781B2D9,A,F,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-4,12/06/2011,OG2-W-11B,BS,N,O41781A848,SA,M,,35.95,22.3,18.8,,,,,19,91,72,35,,,,,,,,,,,
OG2-W-2011-4,12/06/2011,OG2-W-17B,RS,R,O41781F5D6,SA,F,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-4,12/06/2011,OG2-W-21A,BS,R,O41781A8O7,A,F,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-4,12/06/2011,OG2-W-25B,LTG,R,O4178163DD,A,M,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-4,12/06/2011,OG2-W-37B,WH,R,O417815CC1,A,M,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-4,12/06/2011,OG2-W-45A,BS,R,O417819242,A,F,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-4,12/06/2011,OG2-W-5B,DTT,N,O417818D7C,SA?,F?,,24.8,17.6,7.8,,,,,19,84,65,,,,,,,,,,,"Yellow belly, orange under chin, orange on side and shoulders, long black guard hairs all over upperparts, cut tail (old injury), latter slightly paler on the underside, grizzled like fur, spiny towards the legs. Trap was full of ants, unable to count parasites",
OG2-W-2011-5,13/06/2011,OG2-W-23A,HTSQ,N,O41782O77O,A,M,Testes,52,19.7,42.9,228.1,233.4,,,19.5,356,336.5,9,,,,,,,,,,No fur clip,
OG2-W-2011-5,13/06/2011,OG2-W-25A,RS,R,O41781A9CB,A,M?,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-5,13/06/2011,OG2-W-2B,BS,R,O417819F4D,A,M,,,,,,,,,,,,,Lost half of tail,,,,,,,,,,
OG2-W-2011-5,13/06/2011,OG2-W-35A,BS,R,O4178171O9,A,M,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-5,13/06/2011,OG2-W-37B,RS,N,O417816752,A,F?,,37.5,25.3,13,,,,,19,134.5,115.5,128,,,,,,,,,,,
OG2-W-2011-5,13/06/2011,OG2-W-38A,BS,N,O41781A62O,A,M,,36.8,23.1,19,,,,,20,94,74,57,,,,,,,,,,,
OG2-W-2011-5,13/06/2011,OG2-W-45B,LTG,R,O41781AD38,A,F,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-5,13/06/2011,OG2-W-5A,BS,R,O417815DED,A,M?,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-6,14/06/2011,OG2-W-11A,BS,R,O4173C1O4O,A,M,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-6,14/06/2011,OG2-W-12B,BS,N,O417819D4F,A,M,Testes,37.1,21,27.2,,,,,19,130,111,70,,,,,,,,,,Brown patch above anus,
OG2-W-2011-6,14/06/2011,OG2-W-15B,LSQ,N,O41781F4E6,A,F?,,34.65,12.4,6.35,,,,,19,99,80,14,,,,,,,,,,,
OG2-W-2011-6,14/06/2011,OG2-W-16A,LTG,R,O4178163DD,A,M,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-6,14/06/2011,OG2-W-17A,BS,N,O41781958A,A,M,,35.65,19.05,22.15,,,,,19,99,80,67,,,,,,,,,,Brown patch above anus,
OG2-W-2011-6,14/06/2011,OG2-W-2A,RS,R,O417818A33,A,M,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-6,14/06/2011,OG2-W-32A,BS,R,O4178181OC,A,M,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-6,14/06/2011,OG2-W-33A,BS,N,O4178154BO,A,M,,35.6,20,19.8,,,,,19,103,84,59,,,,,,,,,,Brown patch above anus,
OG2-W-2011-6,14/06/2011,OG2-W-37B,WH,R,O417815CC1,A,M,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-6,14/06/2011,OG2-W-38B,LTG,R,O41781AD38,A,F,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-6,14/06/2011,OG2-W-40B,RS,R,O417817OB4,SA,F,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-6,14/06/2011,OG2-W-6B,BS,R,O417815DED,A,M?,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-7,15/06/2011,OG2-W-11A,BS,R,O4173C1O4O,A,M,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-7,15/06/2011,OG2-W-16B,RS,R,O41781F5D6,SA,F,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-7,15/06/2011,OG2-W-1B,RS,R,O417818A33,A,M,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-7,15/06/2011,OG2-W-21A,LTG,R,O41781991A,A,F?,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-7,15/06/2011,OG2-W-26B,LTG,R,O4178163DD,A,M,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-7,15/06/2011,OG2-W-37A,RS,R,O417816752,A,F?,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-7,15/06/2011,OG2-W-42B,LTG,R,O4178164F7,A,F,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-7,15/06/2011,OG2-W-4B,BS,R,O4178193O2,SA,M,,,,,,,,,,,,,,,,,,,,,,,
OG2-W-2011-7,15/06/2011,OG2-W-6A,LTG,R,O41781B2D9,A,F,,,,,,,,,,,,,,,,,,,,,,,
OG2-E-2013-1,15/09/2013,OG2-E-22A,BS,N,O417BD6D54,A,F,8 mammae obviously present,36.15,21.5,14.9,,,,,20,205,185,81,,,859,134,,,,Ollie,Sabri,,
OG2-E-2013-4,18/09/2013,OG2-E-7B,LGTRS,N,O417BD62BO,A,F,,43.4,,,189.05,176.4,,41.5,45,236,191,1,,,,,,,,Ollie,Sabri,"Tried to take parasite sample, but promptly lost the 1 tiny tick I found",
OG2-N-2013-1,25/09/2013,OG2-N-15A,BS,N,O417BD6O3F,A,M,Massive testes - biggest I've ever seen (60.65mm in length),37,20.7,45.25,,,,,45,197,152,85,"Blood around eye, not sure why, but doesn't look too serious",,851,135,,,,Ollie,Sabri,"Appears that this individual was abnormal - the testes were gargantuan (comparable, or bigger, than LTG testes relative to body size) and the base of the tail was fused to the back of the scrotal sac. ",
OG2-N-2013-1,25/09/2013,OG2-N-36A,LTG,N,O417BD8DC9,SA,M,,45.1,22.6,32.65,,,,,19,251,232,0,,,860,,,,,Ollie,Sabri,"Strange rouge (reddish brown) tinged fur between arms, which I've never seen in LTG before. Testes flacid and not properly descended. Not full size LTG, more akin to a large RS. But obviously LTG in colouration and giz. ",
OG2-N-2013-2,26/09/2013,OG2-N-13A,BS,N,O417BD61BD,A,F,,36.15,22.9,16,,,,,20,183,163,111,"Injuried tail on door about 2/3rds down (no string!) - bloody but not broken, hopefully won't lose it",,863,137,,,,Ollie,Mathiew,Took two ear punches (both L ear) as messed first one up,
OG2-N-2013-2,26/09/2013,OG2-N-9B,BS,N,O417BDACBA,A,F,4 pairs mammae,35.4,20.6,20.75,,,,,20,179,159,56,,,862,136,,,,Ollie,Mathiew,,
OG2-N-2013-3,27/09/2013,OG2-N-30B,LTG,R,O417BD8DC9,SA,M,,,,,,,,,,,,,,,,,,,,Ollie,Mathiew,,
OG2-N-2013-3,27/09/2013,OG2-N-7A,BS,N,O417BD854C,A,F,Perforated,33.75,19.6,16.1,,,,,20,139,119,72,,,864,138,,,,Ollie,Ollie,,
OG2-N-2013-4,28/09/2013,OG2-N-4A,BS,R,O417BD61BD,A,F,,,,,,,,,,,,,"Tail cut is healing well it seems, hopefully will not get infected. Eye which was bleeding on first capture appears fine now",,,,,,,Ollie,Sabri,,
OG2-N-2013-5,29/09/2013,OG2-N-16A,CTRS,N,O417BD6563,A,M,,46.6,,,176.55,184.25,,33.2,,,,2,,,,139,,,,Ollie,Mathiew,"Yellow dust particles on genitals - fungus? Something else? Have noticed this before on treeshrews actually. Bloody escaped during weighing, so no weight. Legged it back up towards point 16 at least (camp at 25 so not too far down). Spotted a CTRS at 16 when I came back down to this point during trap checking - what was it doing? Had already stored the other CTRS at 15, but related to CTRS already captured?",
OG2-N-2013-5,29/09/2013,OG2-N-16B,BS,R,O417BDACBA,A,F,,,,,,,,,,,,,,,,,,,,,Mathiew,,
OG2-N-2013-5,29/09/2013,OG2-N-31A,LTG,R,O417BD8DC9,SA,M,,,,,,,,,,,,,,,,,,,,Ollie,Sabri,,
OG2-N-2013-5,29/09/2013,OG2-N-31B,CTRS,N,O41781CCO7,A,F,,48.6,,,174.8,208.4,,35,44,262,218,0,,,,,,,,Ollie,Sabri,,
OG2-N-2013-6,30/09/2013,OG2-N-31A,LGTRS,N,O417BD6F5O,A,F,,45.4,,,195.8,168,,40.45,45,274,229,0,Bloody head from bashing herself on the trap door. Hopefully no permanent damage. Why do they do this to themselves?!,,,,,,,Ollie,Mathiew,,
OG2-N-2013-6,30/09/2013,OG2-N-40B,CTRS,N,O417BD779B,SA,M,,47.85,,,145.3,174.1,,27.7,45,135,90,0,,,,,,,,Ollie,Sabri,"Orange throat and chest. Uniform chocolate brown with orange speckling above. Orange shoulder stripe. Smallish, but with very very large feet, so obviously a sub-adult. Plain colouration on back, no sign of line or darkness towards rear, so not LGTRS juv. Bushier tail and too reddish for SLTRS or LETRS. Took photos. Also has yellow dust on genitals, as the male yesterday did. ",
OG2-N-2013-6,30/09/2013,OG2-N-4B,BS,R,O417BD61BD,A,F,,,,,,,,,,,,,,,,,,,,Ollie,Ollie,,
OG2-N-2013-7,01/10/2013,OG2-N-26B,LTG,R,O417BD8DC9,SA,M,,,,,,,,,,,,,,,,,,,,Ollie,Ollie,,
OG2-N-2014-1,15/06/2014,OG2-N-13A,BS,N,O41868CDE8,SA,F,Not perforated but can see where hole will develop. No mammae visible,34.95,20.35,12.4,,,,,15,124,109,51,,,1094,340,210,,,Jess,Jess,Pale tail tip. No collar or ankle bands. Also no brown markings on venter.,
OG2-N-2014-1,15/06/2014,OG2-N-22A,BS,N,O41868C374,A,M,Balls & epididymal pouch obvious.,37.65,23.5,35.5,,,,,16,222,206,76,,,1096,342,211,,,Jess,Jess,All the rats today had a lot of large parasites (look like the “normal” parasites like you'd get on any WH or RS but slightly bigger),
OG2-N-2014-1,15/06/2014,OG2-N-44B,BS,N,O41868F767,A,M,Balls & epididymal pouch obvious.,35.6,23.5,35.5,,,,,16,154,138,60,,,1097,343,212,,,Jess,Alex,"Thin, long and pale brown streak on venter.",
OG2-N-2014-1,15/06/2014,OG2-N-47A,BS,N,O41868FE17,A,F,Not perforated but large size and spines fully developed on dorsum hence A? Classification,37.5,24.3,11.5,,,,,15,196,181,75,,,1095,341,,,,Jess,Alex,Quite scraggy condition – coarse fur with a patch missing along the midline of dorsum towards rump. Pale tail tip. Too awake for fur sample. EDIT by ORW: Changed to A from A?,
OG2-N-2014-2,16/06/2014,OG2-N-16A,BS,N,O41868F8E3,SA,F,Mammae visible but not yet perforated.,37.1,22,16.45,,,,,16,148,132,30,,,2003,,,,,Jess,Jess,Too awake for fur sample.,
OG2-N-2014-2,16/06/2014,OG2-N-20A,BS,N,O41868F27B,A,M,Balls & epididymal pouch obvious.,35.3,22.4,33.7,,,,,16,143,127,47,,,2004,349,217,,,Jess,Jess,Thin pale brown streak on venter.,
OG2-N-2014-2,16/06/2014,OG2-N-25B,BS,N,O41869OOE7,A,M,Balls & epididymal pouch obvious.,37.65,24.95,36.7,,,,,18,159,141,69,,,2006,351,218,,,Jess,Sabri,"Two thin, pale brown streaks – one mid-vent and one shorter one on underside of neck. Noticed on release aswell that there seemed to be a line of slightly darker brown fur extending from the back of the head to the shoulder area.",
OG2-N-2014-2,16/06/2014,OG2-N-28B,BS,N,O41868F832,A,M,Balls & epididymal pouch obvious.,38.5,25.05,43.1,,,,,18,244,226,23,,,2005,350,,,,Jess,Sabri,Pale tail tip. Too awake for fur sample.,
OG2-N-2014-2,16/06/2014,OG2-N-29B,MR,N,O41868CC9C,A,M,Balls,40,20.8,27.25,,,,,16,223,207,12,,,1099,345,214,,,Jess,Sabri,,
OG2-N-2014-2,16/06/2014,OG2-N-30B,MR,N,O417O84685,A,F,Perforated and mammae obvious,38.8,21.65,19.2,,,,,16,249,233,20,,,1098,344,213,,,Jess,Sabri,"Unders buffy orange. Uppers coarse grey/brown speckled buffy orange, tail all grey/brown.",
OG2-N-2014-2,16/06/2014,OG2-N-31A,BS,N,O41869OD39,A,M,Balls humungous.,39.7,25.1,36.85,,,,,17,186,169,39,,,2000,346,215,,,Jess,Sabri,,
OG2-N-2014-2,16/06/2014,OG2-N-37A,BS,N,O41869116E,SA,F,Not perforated but can see where hole will develop.,35.2,22.9,18,,,,,16,143,127,63,,,2001,347,,,,Jess,Alex,Too awake for fur sample.,
OG2-N-2014-2,16/06/2014,OG2-N-40A,BS,N,O41868BD4O,A,M,Balls obvious.,38.5,23.8,37.1,,,,,16,166,150,38,,,2002,348,216,,,Jess,Alex,Pale tail tip.,
OG2-N-2014-3,17/06/2014,OG2-N-17B,BS,R,O41868F8E3,SA,F,,,,,,,,,,,,,,,,,,,,Alex,Sabri,,
OG2-N-2014-3,17/06/2014,OG2-N-19A,BS,N,O41868FC3F,SA,F,Not perforated.,38.55,24.1,17.8,,,,,18,121,103,38,,,2007,353,220,,,Jess,Sabri,"Brown streak on vent. Also had stripe of darker brown fur running from top of head to base of neck on dorsum like a couple of other individuals (have so far only noticed on this grid, but then I've only trapped OG3 before this and 1. a lot of the BS there were juveys and 2. I've only noticed this when taking pics or on release as usually am holding the area where the stripe is; so I don't know how common a feature this is)",
OG2-N-2014-3,17/06/2014,OG2-N-23B,BS,R,O41868C374,A,M,,,,,,,,,,,,,,,,,,,,Alex,Sabri,,
OG2-N-2014-3,17/06/2014,OG2-N-26A,LSQ,N,O417O8369O,SA,F,Mammae visible but not yet perforated.,32.9,,,130.2,81.5,,,18,117,99,,,,,0,,,,Jess,Jess,"Started to come round and attempted an escape. I grabbed her by the tail before getting her in the ringer's grip.. classic. She didn't get away (HA!) but did do a lizard and shed her tail. I remember you saying this species seems to do this quite often and I'm not sure if this is a behavioural thing used as an escape mechanism or if its just that the skin is quite loose on the tail, but almost the entire thing – skin plus fur - came off leaving only a very thin bone and she didn't seem to be too bothered by it (although perhaps partly due to ether drunkness).",
OG2-N-2014-3,17/06/2014,OG2-N-26B,LSQ,N,O41868E2BC,A,F,"Perforated, mammae visible.",28.1,,,138.5,99.3,,,18,122,104,37,,,,352,219,,,Jess,Jess,"I expected a male as these two were both caught at 26 but it was two females. Purely observational I know and hardly a large sample size but with the abundance of male SLTRS found around point 43 in E100-1 last week and male LSQs around point 12-13 in the same grid, it makes me wonder whether there might be some communal aspect of behaviour / living arrangements going on. Is anything known about this?",
OG2-N-2014-3,17/06/2014,OG2-N-2B,LTG,R,O417BD8DC9,A,M,,,,,,,,,,,,,,,,,,,,Sabri,Alex,"Old recap first caught 25/09/2013 at 36A, and then several times after that.",
OG2-N-2014-3,17/06/2014,OG2-N-32B,BS,N,O41868E36F,SA,F,Not perforated and no mammae visible but can see where hole will develop.,37.8,22.1,13.6,,,,,18,126,108,76,,,2008,354,221,,,Jess,Jess,Very pale brown streak on vent.,
OG2-N-2014-3,17/06/2014,OG2-N-44A,BS,R,O41868F767,A,M,,,,,,,,,,,,,,,,,,,,Jess,Siun,,
OG2-N-2014-3,17/06/2014,OG2-N-47A,BS,R,O41868FE17,A,F,,,,,,,,,,,,,,,,,,,,Jess,Siun,,
OG2-N-2014-4,18/06/2014,OG2-N-10A,BS,N,O41869OA14,A,M,Huge balls.,37.8,23.6,36.2,,,,,18,182,164,38,,,2012,358,224,,,Jess,Sabri,,
OG2-N-2014-4,18/06/2014,OG2-N-24A,BS,R,O41869OOE7,,,,,,,,,,,,,,,,,,,,,,Jess,Alex,,
