,date,location,disturbance,census,An_ait,An_bar,An_van,An_sp,An_bal,An_koc,An_lat,An_maca,An_macu,An_tes,An_wat,Arm_ju,Arm_fl,Coq_cr,Cx_Cul1,Cx_pap,Cx_sca,Cx_gel,Cx_mim,Cx_qui,Cx_sit,Cx_vis,Cx_Lop,Cx_bit,Do_gan,He_sci,Ma_ann,Or_sp,Pr_ost,Stg_al,Ae_orb,Arm_co,Arm_sp,Col_pse,Ph_pro,Stg_sp,Ve_sp,plot,second_order,agb,forestquality,plt_sub_cen
0,2012-10-31,E_651,Twice,c1,0,0,0.0,4,17,0.0,1,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,651,6.05768192568402,Okay,E_651_c1
1,2012-01-11,E_651,Twice,c1,1,0,0.0,0,9,0.0,1,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,651,6.05768192568402,Okay,E_651_c1
2,2012-02-11,E_651,Twice,c1,0,0,0.0,0,7,0.0,1,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,1.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,651,6.05768192568402,Okay,E_651_c1
3,2012-05-11,OG2_727,Primary,c1,0,0,0.0,0,0,0.0,1,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OG2,727,23.456774568320004,Very good,OG2_727_c1
4,2012-06-11,OG2_727,Primary,c1,0,0,0.0,1,2,0.0,2,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OG2,727,23.456774568320004,Very good,OG2_727_c1
5,2012-07-11,OG2_727,Primary,c1,0,0,0.0,0,1,0.0,15,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OG2,727,23.456774568320004,Very good,OG2_727_c1
6,2012-12-11,E_659,Twice,c1,0,0,0.0,0,7,0.0,0,2,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,659,6.937361814752,Good,E_659_c1
7,2012-11-13,E_659,Twice,c1,0,0,0.0,0,5,0.0,2,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,659,6.937361814752,Good,E_659_c1
8,2012-11-14,E_659,Twice,c1,1,0,0.0,0,7,0.0,1,2,2,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,659,6.937361814752,Good,E_659_c1
9,2012-11-17,E_659,Twice,c1,0,0,0.0,0,11,0.0,1,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,659,6.937361814752,Good,E_659_c1
10,2012-11-19,OP1_741,Oil Palm,c1,0,0,0.0,0,136,0.0,0,8,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OP1,741,0.186782,OP,OP1_741_c1
11,2012-11-20,OP1_741,Oil Palm,c1,0,0,0.0,4,28,0.0,1,6,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OP1,741,0.186782,OP,OP1_741_c1
12,2012-11-21,OP1_741,Oil Palm,c1,0,0,0.0,0,19,0.0,0,0,0,1.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1,2,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OP1,741,0.186782,OP,OP1_741_c1
13,2012-11-22,OP3_762,Oil Palm,c1,0,0,0.0,0,26,0.0,0,7,3,0.0,0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,1,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OP3,762,0.0,OP,OP3_762_c1
14,2012-11-23,OP3_762,Oil Palm,c1,0,0,0.0,1,20,0.0,0,0,5,0.0,0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OP3,762,0.0,OP,OP3_762_c1
15,2012-11-24,OP3_762,Oil Palm,c1,0,0,0.0,0,20,0.0,0,3,2,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OP3,762,0.0,OP,OP3_762_c1
16,2012-11-26,E_655,Twice,c1,0,0,0.0,2,47,0.0,1,1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,655,4.14039396352,Poor,E_655_c1
17,2012-11-27,E_655,Twice,c1,0,0,0.0,0,22,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,655,4.14039396352,Poor,E_655_c1
18,2012-11-28,E_655,Twice,c1,0,0,0.0,1,36,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,655,4.14039396352,Poor,E_655_c1
19,2012-11-29,D_643,Twice,c1,0,0,0.0,1,58,0.0,0,4,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,643,0.3539854752,Poor,D_643_c1
20,2012-01-12,D_643,Twice,c1,0,1,0.0,0,61,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,643,0.3539854752,Poor,D_643_c1
21,2012-02-12,D_643,Twice,c1,1,0,2.0,0,42,1.0,1,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1.0,0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,643,0.3539854752,Poor,D_643_c1
22,2012-06-12,OP2_748,Oil Palm,c1,0,0,0.0,0,2,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OP2,748,0.3214468,OP,OP2_748_c1
23,2012-07-12,OP2_748,Oil Palm,c1,0,0,0.0,0,2,0.0,0,0,3,0.0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OP2,748,0.3214468,OP,OP2_748_c1
24,2012-08-12,OP2_748,Oil Palm,c1,0,0,0.0,5,7,0.0,0,0,9,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OP2,748,0.3214468,OP,OP2_748_c1
25,2012-10-12,E_647,Twice,c1,0,0,0.0,0,48,0.0,0,4,0,0.0,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,647,0.49472259071999997,Very poor,E_647_c1
26,2012-11-12,E_647,Twice,c1,0,0,0.0,1,42,0.0,0,2,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,647,0.49472259071999997,Very poor,E_647_c1
27,2012-12-12,E_647,Twice,c1,0,0,0.0,0,30,0.0,0,3,0,0.0,2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,647,0.49472259071999997,Very poor,E_647_c1
28,2012-12-13,D_639,Twice,c1,0,0,0.0,0,44,0.0,1,0,0,0.0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,639,1.642251314496,Poor,D_639_c1
29,2012-12-14,D_639,Twice,c1,0,0,0.0,0,7,0.0,0,0,0,0.0,0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,639,1.642251314496,Poor,D_639_c1
30,2012-12-16,D_639,Twice,c1,0,0,0.0,0,17,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,639,1.642251314496,Poor,D_639_c1
31,2012-12-17,D_635,Twice,c1,0,0,0.0,2,75,0.0,0,2,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,635,4.04501273856,Poor,D_635_c1
32,2012-12-18,D_635,Twice,c1,0,0,0.0,0,97,0.0,0,1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,635,4.04501273856,Poor,D_635_c1
33,2012-12-21,D_635,Twice,c1,0,0,0.0,0,35,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,635,4.04501273856,Poor,D_635_c1
34,2013-02-01,OG2_728,Primary,c1,0,0,0.0,0,3,0.0,3,1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OG2,728,35.092098898559996,Very good,OG2_728_c1
35,2013-06-01,OG2_727,Primary,c1,0,0,0.0,1,3,0.0,0,0,0,0.0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OG2,727,23.456774568320004,Very good,OG2_727_c1
36,2013-07-01,OG3_733,Primary,c1,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OG3,733,18.55140849536,Okay,OG3_733_c1
37,2013-08-01,OG3_733,Primary,c1,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OG3,733,18.55140849536,Okay,OG3_733_c1
38,2013-09-01,OG3_733,Primary,c1,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OG3,733,18.55140849536,Okay,OG3_733_c1
39,2013-10-01,OG2_727,Primary,c1,0,0,0.0,0,2,0.0,1,0,0,0.0,0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OG2,727,23.456774568320004,Very good,OG2_727_c1
40,2013-11-01,OG2_728,Primary,c1,0,0,0.0,0,1,0.0,3,0,0,0.0,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OG2,728,35.092098898559996,Very good,OG2_728_c1
41,2013-12-01,OG2_728,Primary,c1,0,0,0.0,0,1,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OG2,728,35.092098898559996,Very good,OG2_728_c1
42,2013-01-18,D_631,Twice,c1,0,0,0.0,0,63,0.0,0,3,0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,631,0.7917854150399999,Poor,D_631_c1
43,2013-01-19,D_631,Twice,c1,0,0,0.0,0,125,0.0,0,1,0,0.0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,631,0.7917854150399999,Poor,D_631_c1
44,2013-01-21,D_631,Twice,c1,0,0,0.0,0,52,0.0,1,3,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,631,0.7917854150399999,Poor,D_631_c1
45,2013-01-22,E_651,Twice,c1,2,0,0.0,0,10,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,651,6.05768192568402,Okay,E_651_c1
46,2013-01-27,OP1_741,Oil Palm,c1,0,0,0.0,0,13,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OP1,741,0.186782,OP,OP1_741_c1
47,2013-01-28,OP1_741,Oil Palm,c1,0,0,0.0,0,21,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,1,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OP1,741,0.186782,OP,OP1_741_c1
48,2013-01-29,E_651,Twice,c1,0,0,0.0,0,1,0.0,0,1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,651,6.05768192568402,Okay,E_651_c1
49,2013-01-30,E_651,Twice,c1,0,0,0.0,0,4,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,651,6.05768192568402,Okay,E_651_c1
50,2013-01-31,E_655,Twice,c1,0,0,0.0,0,13,0.0,1,0,0,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,655,4.14039396352,Poor,E_655_c1
51,2013-01-02,E_655,Twice,c1,0,0,0.0,0,2,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,655,4.14039396352,Poor,E_655_c1
52,2013-02-02,E_655,Twice,c1,0,0,0.0,0,14,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,655,4.14039396352,Poor,E_655_c1
53,2013-04-02,D_643,Twice,c1,1,0,0.0,0,21,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,643,0.3539854752,Poor,D_643_c1
54,2013-05-02,D_643,Twice,c1,0,0,0.0,0,14,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1.0,0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,643,0.3539854752,Poor,D_643_c1
55,2013-06-02,D_643,Twice,c1,1,0,0.0,0,26,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,643,0.3539854752,Poor,D_643_c1
56,2013-07-02,E_659,Twice,c1,0,0,0.0,0,6,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,659,6.937361814752,Good,E_659_c1
57,2013-02-13,OP3_762,Oil Palm,c1,0,0,0.0,0,6,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OP3,762,0.0,OP,OP3_762_c1
58,2013-02-15,OP3_762,Oil Palm,c1,0,0,0.0,0,3,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OP3,762,0.0,OP,OP3_762_c1
59,2013-02-20,E_647,Twice,c1,1,0,0.0,0,4,0.0,0,0,0,0.0,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,647,0.49472259071999997,Very poor,E_647_c1
60,2013-02-21,E_647,Twice,c1,1,0,0.0,0,9,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,647,0.49472259071999997,Very poor,E_647_c1
61,2013-02-22,E_647,Twice,c1,0,0,0.0,0,5,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,647,0.49472259071999997,Very poor,E_647_c1
62,2013-02-23,D_639,Twice,c1,0,0,0.0,0,36,0.0,2,3,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,639,1.642251314496,Poor,D_639_c1
63,2013-02-25,OP1_741,Oil Palm,c1,0,0,0.0,0,34,0.0,0,0,0,0.0,0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OP1,741,0.186782,OP,OP1_741_c1
64,2013-02-26,OP3_762,Oil Palm,c1,0,0,0.0,0,19,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OP3,762,0.0,OP,OP3_762_c1
65,2013-02-27,OP2_748,Oil Palm,c1,0,0,1.0,0,1,0.0,0,0,3,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OP2,748,0.3214468,OP,OP2_748_c1
66,2013-02-03,OP2_748,Oil Palm,c1,0,0,0.0,0,0,0.0,0,1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,OP2,748,0.3214468,OP,OP2_748_c1
67,2013-03-03,D_639,Twice,c1,0,0,0.0,0,9,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,639,1.642251314496,Poor,D_639_c1
