,plot,subplot,census,f_type,avghgt,tbiomc,simpdv,avghgtnorm,tbiomcnorm
0,BNorth,1,1,Logged,18.88235294117647,6073.846762001933,0.8948306595365418,0.4966553295096574,0.1708093240392728
1,BNorth,1,2,Logged,19.31470588235294,6460.411295327467,0.8948306595365418,0.5132594535573989,0.18170526959194508
2,BNorth,1,3,Logged,19.14666666666666,5863.367674569529,0.9563218390804598,0.506806059312993,0.16487663110205414
3,BNorth,1,4,Logged,18.9375,4454.960628528725,0.9746376811594203,0.49877320247493057,0.12517840437224326
4,BNorth,2,1,Logged,13.473333333333333,1805.7793075233672,0.7238095238095238,0.2889268188606784,0.05050695123993358
5,BNorth,2,2,Logged,13.78,2280.34783075742,0.5366666666666666,0.30070407510134406,0.06388343134711358
6,BNorth,2,3,Logged,13.836000000000002,2373.316107142081,0.7266666666666667,0.3028547045018135,0.06650389233172233
7,BNorth,2,4,Logged,13.790138346853679,1977.5228248296833,0.7309941520467836,0.301093429151624,0.055347819587310346
8,BNorth,3,1,Logged,14.080000000000002,317.1015190947196,0.0,0.31222530403243015,0.008546164023762744
9,BNorth,3,2,Logged,15.6,532.4713164587499,0.33333333333333337,0.37059953061659895,0.014616709517372125
10,BNorth,3,3,Logged,16.2,1000.3686517930493,0.41666666666666663,0.39364198847877097,0.027805151421714337
11,BNorth,3,4,Logged,15.9375,844.7883621927056,0.4642857142857143,0.38356091316407076,0.023419869745790977
12,BNorth,4,1,Logged,16.838095238095242,3197.6614229224183,0.6238095238095238,0.4181474595385413,0.0897393961170089
13,BNorth,4,2,Logged,16.382758620689657,3920.8216547953434,0.6182266009852218,0.40066066817242113,0.11012283493008218
14,BNorth,4,3,Logged,15.907142857142857,3057.603761305875,0.7513227513227514,0.3823950745222346,0.08579164477500122
15,BNorth,4,4,Logged,16.55079445579012,3107.6840532228143,0.8066666666666666,0.4071139325884833,0.08720323866669791
16,BNorth,5,2,Logged,8.6,13.902141711718372,0.0,0.10177085555792613,0.0
17,BNorth,5,3,Logged,12.5,97.0844950333456,1.0,0.2515468316620439,0.002344628941870208
18,BNorth,5,4,Logged,12.9,108.61954652215701,1.0,0.2669084702368252,0.0026697629935849786
19,BNorth,6,2,Logged,13.9,34.5877576993593,0.0,0.3053125666737785,0.0005830574874157365
20,BNorth,6,3,Logged,14.233333333333334,334.25286745277884,0.8,0.31811393215276296,0.009029602471301213
21,BNorth,6,4,Logged,15.512,396.3187517566442,0.7,0.3672199701301472,0.010779029637408753
22,BNorth,7,1,Logged,13.145454545454545,665.2283677904672,0.8727272727272728,0.27633493027135003,0.01835868137029835
23,BNorth,7,2,Logged,13.33076923076923,821.0664638376685,0.8461538461538461,0.2834517733173589,0.022751229737203216
24,BNorth,7,3,Logged,13.361538461538462,911.5160669076516,0.9487179487179487,0.28463343782311135,0.025300697847567638
25,BNorth,7,4,Logged,13.589090909090908,789.5918003814053,0.9636363636363636,0.2933723839633802,0.02186406552594505
26,BNorth,8,1,Logged,12.28,208.96404406491698,0.8,0.24309793044591416,0.005498134681826325
27,BNorth,8,2,Logged,12.411111111111111,399.17011493140546,0.5555555555555556,0.24813313420098138,0.01085939991254967
28,BNorth,8,3,Logged,14.52727272727273,763.403013132975,0.7818181818181819,0.329402408984231,0.02112589227064252
29,BNorth,8,4,Logged,15.91375,756.9015452295062,0.7857142857142857,0.38264881587369315,0.02094263789994476
30,BNorth,9,1,Logged,13.0,50.53970627846189,0.0,0.27074887988052054,0.0010326889155285667
31,BNorth,9,2,Logged,14.466666666666667,139.19183523412423,0.6666666666666667,0.32707488798805195,0.0035314923156220045
32,BNorth,9,3,Logged,15.571428571428571,380.4158930514674,0.8571428571428572,0.3695022707184003,0.010330781886657323
33,BNorth,9,4,Logged,16.88,567.1985258315298,0.8571428571428572,0.4197567740558992,0.01559555198713231
34,BNorth,10,1,Logged,14.7125,1720.1430877534563,0.6956521739130435,0.33651589502880297,0.048093156109991195
35,BNorth,10,2,Logged,15.25454545454545,1743.805433122592,0.6017316017316017,0.3573326609383787,0.04876011752151187
36,BNorth,10,3,Logged,14.71764705882353,1508.3672296227542,0.7205882352941176,0.33671356317222856,0.04212391159676166
37,BNorth,10,4,Logged,14.88657039396592,1179.0695872559768,0.717948717948718,0.3432009112254886,0.032842125833890824
38,BNorth,11,2,Logged,12.3,24.94571956132854,0.0,0.24386601237465327,0.00031128107361757715
39,BNorth,11,3,Logged,21.0,160.0734452831374,0.0,0.5779816513761467,0.004120074212126665
40,BNorth,12,1,Logged,13.590476190476192,1271.3174467741878,0.8761904761904762,0.293425584443293,0.03544228070587063
41,BNorth,12,2,Logged,14.273913043478261,1631.6477741814645,0.8972332015810277,0.3196723592545523,0.045598772804694335
42,BNorth,12,3,Logged,14.207142857142856,1994.5676425981524,0.9576719576719577,0.31710811057941407,0.05582825529816761
43,BNorth,12,4,Logged,14.876923076923076,2178.544969058464,0.9569230769230769,0.34283041473141734,0.06101395331032758
44,BNorth,13,1,Logged,16.004,2783.9250614748366,0.9033333333333333,0.3861147855771282,0.07807756871470746
45,BNorth,13,2,Logged,17.193103448275863,3397.466889872165,0.9014778325123153,0.4317812290782281,0.09537123582636306
46,BNorth,13,3,Logged,18.98695652173913,3427.2126947273246,0.9130434782608696,0.5006725355052365,0.09620966936638287
47,BNorth,13,4,Logged,18.85238095238095,3091.8221320681105,0.9476190476190476,0.495504282361547,0.08675614480690791
48,BNorth,14,1,Logged,12.591666666666669,482.621087867632,0.9696969696969697,0.2550672071687647,0.013211600331994075
49,BNorth,14,2,Logged,13.238461538461538,574.5797786590306,0.9102564102564102,0.27990677980010165,0.015803604516491564
50,BNorth,14,3,Logged,12.685,920.4554130636593,0.8842105263157894,0.25865158950288025,0.025552667753224567
51,BNorth,14,4,Logged,12.975,1007.0280430767845,0.8842105263157894,0.2697887774695967,0.027992857117881798
52,BNorth,15,1,Logged,13.863636363636363,687.2817751714671,0.8909090909090909,0.30391605407607103,0.018980292266691474
53,BNorth,15,2,Logged,14.153846153846153,878.9258432361861,0.9102564102564102,0.31506129884623585,0.024382089770362943
54,BNorth,15,3,Logged,13.958823529411763,1064.7850422039426,0.8602941176470589,0.3075716311700698,0.029620831397781124
55,BNorth,15,4,Logged,14.185714285714287,1037.3952663132984,0.8571428571428572,0.3162851656557652,0.02884880633837653
56,BNorth,16,1,Logged,17.433333333333334,1966.506626954109,0.9428571428571428,0.4410070407510134,0.055037310262471065
57,BNorth,16,2,Logged,17.866666666666664,2505.86444205429,0.9411764705882353,0.457648815873693,0.07023998117535293
58,BNorth,16,3,Logged,16.772413793103446,3512.0396769745794,0.9532019704433498,0.415625022990958,0.09860065483008354
59,BNorth,16,4,Logged,17.303571428571427,3845.2565287919274,0.9497354497354498,0.43602365204669435,0.10799290983961694
60,BNorth,17,1,Logged,17.56666666666667,2446.091698668133,0.9619047619047619,0.44612758694260723,0.06855518988871682
61,BNorth,17,2,Logged,17.89,2566.8728848709984,0.9842105263157894,0.45854491145722204,0.07195960264570748
62,BNorth,17,3,Logged,18.52962962962963,3805.946450205891,0.9886039886039886,0.48310930943745095,0.10688489180117981
63,BNorth,17,4,Logged,18.962962962962962,4221.504763213674,0.9886039886039886,0.49975108456013073,0.1185980738500878
64,BNorth,18,1,Logged,18.309090909090912,2775.6232586346764,0.974025974025974,0.47463971914579983,0.07784356899684086
65,BNorth,18,2,Logged,18.491304347826084,2899.314055692469,0.9762845849802372,0.48163746161909426,0.08132999383388972
66,BNorth,18,3,Logged,19.912,3947.0081327335597,0.9766666666666667,0.5361979944527415,0.11086094309374751
67,BNorth,18,4,Logged,20.358333333333334,4157.211394410305,0.9855072463768116,0.5533390228291017,0.11678586143667054
68,BNorth,19,1,Logged,18.2,4371.98575971811,0.9145299145299145,0.4704501813526775,0.12283962371633855
69,BNorth,19,2,Logged,18.103225806451615,5154.358130457248,0.9182795698924731,0.466733655891037,0.14489205227245225
70,BNorth,19,3,Logged,18.196296296296296,4761.829944686052,0.9658119658119658,0.4703079439584666,0.13382801154616436
71,BNorth,19,4,Logged,17.886363636363633,3503.5803756396845,0.9523809523809523,0.45840526019745115,0.09836221576283201
72,BNorth,20,1,Logged,13.87142857142857,1264.7932857628814,0.989010989010989,0.30421530677557973,0.035258386693286195
73,BNorth,20,2,Logged,14.613333333333333,1524.2204632109072,0.9714285714285714,0.33270748879880513,0.04257076058346072
74,BNorth,20,3,Logged,14.457142857142854,1597.9450344061665,0.989010989010989,0.32670913468865226,0.04464880666473736
75,BNorth,20,4,Logged,14.729999999999999,1693.3528156356458,0.989010989010989,0.33718796671644957,0.04733802903243512
76,BNorth,21,1,Logged,16.745454545454546,1950.7961744413576,0.5627705627705628,0.4145896774443819,0.05459448579092901
77,BNorth,21,2,Logged,18.966666666666665,3893.6567886542844,0.644927536231884,0.49989332195434166,0.10935714931512858
78,BNorth,21,3,Logged,21.220000000000002,4734.597630547474,0.5157894736842106,0.5864305525922765,0.1330604248004933
79,BNorth,21,4,Logged,21.916666666666668,4768.033814713881,0.5620915032679739,0.6131854064433538,0.13400287764020968
80,BNorth,22,1,Logged,16.408695652173915,2819.1772261234914,0.7430830039525691,0.4016567564308309,0.07907120789655686
81,BNorth,22,2,Logged,17.313333333333333,3800.0143071011385,0.6367816091954023,0.43639854917857895,0.10671768476921548
82,BNorth,22,3,Logged,17.67,3959.99016349229,0.639080459770115,0.45009601024109236,0.11122686259260418
83,BNorth,22,4,Logged,17.996666666666666,4266.964902757246,0.639080459770115,0.46264134841049703,0.11987944128703919
84,BNorth,23,1,Logged,20.342857142857145,999.1662221760389,0.5238095238095238,0.5527446737175775,0.027771259001410913
85,BNorth,23,2,Logged,21.771428571428572,1308.5394585852591,0.5238095238095238,0.6076076686275107,0.036491443210680194
86,BNorth,23,3,Logged,20.68888888888889,1727.1747958948129,0.7222222222222222,0.5660337102624279,0.048291356157966064
87,BNorth,23,4,Logged,21.188888888888886,1832.8239808587905,0.7222222222222222,0.5852357584809045,0.051269249026586514
88,BNorth,24,1,Logged,21.033333333333335,4066.5282315677164,0.6339869281045751,0.5792617879240451,0.1142298100669892
89,BNorth,24,2,Logged,19.629166666666666,5061.67255628326,0.6594202898550725,0.5253360358438233,0.14227955970612702
90,BNorth,24,3,Logged,20.11904761904762,5679.435793953127,0.680952380952381,0.5441494711816879,0.1596922140543856
91,BNorth,24,4,Logged,20.547619047619047,6139.9657508885,0.680952380952381,0.5606083696546679,0.1726729945025408
92,BNorth,25,1,Logged,23.942857142857143,1957.6022887423278,0.7142857142857143,0.6909994208906092,0.054786327112249046
93,BNorth,25,2,Logged,22.466666666666665,2445.850397731896,0.7222222222222222,0.6343076594836781,0.06854838843220339
94,BNorth,25,3,Logged,21.26666666666667,2257.850231994589,0.8636363636363636,0.5882227437593344,0.0632493001993933
95,BNorth,25,4,Logged,21.409999999999997,1643.4782805141613,0.8666666666666667,0.5937273309152974,0.04593223472825124
96,BSouth,1,1,Logged,6.9363636363636365,311.81335815331823,0.8909090909090909,0.037880404212812996,0.008397108668902357
97,BSouth,1,2,Logged,6.375,298.63503953304985,0.9545454545454546,0.01632174098570513,0.008025656479724693
98,BSouth,1,3,Logged,6.01111111111111,279.1801542476541,1.0,0.002346917004480435,0.007477289124397131
99,BSouth,1,4,Logged,6.211111111111111,372.73473843432697,1.0,0.010027736291871129,0.010114276141109428
100,BSouth,2,1,Logged,7.527272727272727,403.93180812085427,0.9818181818181818,0.0605737339255581,0.010993615923740414
101,BSouth,2,2,Logged,8.6,637.497039314759,0.9818181818181818,0.10177085555792613,0.017577029099783058
102,BSouth,2,3,Logged,7.899999999999999,666.3056109587377,0.9848484848484849,0.0748879880520588,0.01838904520840705
103,BSouth,2,4,Logged,7.908333333333334,656.1549893761221,0.9848484848484849,0.0752080221890335,0.018102933549019973
104,BSouth,3,1,Logged,12.8,187.89538611758857,0.8333333333333334,0.26306806059312987,0.00490428053828376
105,BSouth,3,2,Logged,12.05,323.3807225537188,0.8571428571428572,0.23426498826541495,0.008723153512205518
106,BSouth,3,3,Logged,12.533333333333335,825.8814691760247,0.8380952380952381,0.2528269682099424,0.02288694843739337
107,BSouth,3,4,Logged,12.973333333333333,907.7666942313244,0.8380952380952381,0.26972477064220174,0.025195015724620434
108,BSouth,4,1,Logged,11.473913043478262,1672.3325482340142,0.9604743083003953,0.2121408892310832,0.04674553885455863
109,BSouth,4,2,Logged,11.600000000000001,2151.6518995074243,0.9658119658119658,0.216983144868786,0.06025592872113022
110,BSouth,4,3,Logged,12.878125,3474.8865928660075,0.9737903225806451,0.26606838062726684,0.09755343516386561
111,BSouth,4,4,Logged,13.326666666666664,3651.0334229318446,0.9747126436781609,0.28329421804992516,0.10251841799134323
112,BSouth,5,1,Logged,11.021739130434783,2617.9352848860676,0.9723320158102767,0.1947755586682869,0.07339887883994756
113,BSouth,5,2,Logged,10.947826086956523,2064.4686059364444,0.9644268774703557,0.19193699501859907,0.057798526818064085
114,BSouth,5,3,Logged,11.534782608695652,2227.3348747863533,0.9644268774703557,0.21447852988376725,0.06238917558371553
115,BSouth,5,4,Logged,11.937155663257357,2247.2370201092854,0.9714285714285714,0.22993130347478644,0.06295014968538622
116,BSouth,6,1,Logged,13.665384615384616,3170.122599153456,0.96,0.29630237481741634,0.08896316990248819
117,BSouth,6,2,Logged,13.796,3056.5809669134546,0.96,0.3013185406443353,0.0857628156635576
118,BSouth,6,3,Logged,13.896296296296297,3640.647787581448,0.9287749287749287,0.30517032927956755,0.10222568208943747
119,BSouth,6,4,Logged,13.807692307692308,3560.1011588496704,0.9323076923076923,0.30176757315652125,0.09995534530100353
120,BSouth,7,1,Logged,12.47,1388.837975531522,0.9157894736842105,0.2503947087689353,0.03875478656781642
121,BSouth,7,2,Logged,12.152000000000001,1642.5132469745427,0.9166666666666666,0.23818220610198418,0.045905033699709566
122,BSouth,7,3,Logged,13.372,2078.321805593107,0.9299999999999999,0.28503520375506713,0.05818900161897444
123,BSouth,7,4,Logged,14.460000000000003,2049.735521272237,0.9736842105263158,0.3268188606784724,0.05738325103747681
124,BSouth,8,1,Logged,15.875,2601.282620421499,0.9545454545454546,0.38116065713676117,0.07292949660316574
125,BSouth,8,2,Logged,17.545454545454543,3177.0351449068335,0.9818181818181818,0.4453129545939444,0.08915801116614784
126,BSouth,8,3,Logged,16.057142857142857,4528.8443693840245,1.0,0.3881556889877777,0.12726093690739737
127,BSouth,8,4,Logged,17.366666666666664,4800.431958037813,1.0,0.43844676765521634,0.13491607162266941
128,BSouth,9,1,Logged,9.424999999999999,579.5937974303448,0.9545454545454546,0.13345423511841256,0.01594493273163413
129,BSouth,9,2,Logged,10.342857142857142,957.1197564355256,0.967032967032967,0.16870370934804466,0.02658611147261492
130,BSouth,9,3,Logged,11.28,2074.6100875033726,0.968421052631579,0.20469383400896088,0.05808438085135074
131,BSouth,9,4,Logged,11.785,2727.480593388463,0.968421052631579,0.2240879027096223,0.07648659024152002
132,BSouth,10,1,Logged,6.775,86.49123321697766,0.8333333333333334,0.031683379560486453,0.0020460407527692005
133,BSouth,10,2,Logged,5.95,54.8685394298409,1.0,0.0,0.0011547040676126517
134,BSouth,10,3,Logged,6.25,62.4765172261976,1.0,0.011521228931085974,0.001369147206309066
135,BSouth,10,4,Logged,6.300000000000001,63.9994553602913,1.0,0.013441433752933664,0.0014120736766875556
136,BSouth,11,1,Logged,10.590909090909092,1087.8283861311704,0.9454545454545454,0.17822992028240586,0.03027034525416778
137,BSouth,11,2,Logged,10.823076923076924,1462.951618181888,0.9358974358974359,0.18714611609853765,0.04084379925628402
138,BSouth,11,3,Logged,12.85,2530.7487422521176,0.9230769230769231,0.2649882654149775,0.0709413853567954
139,BSouth,11,4,Logged,13.441666666666665,2629.0385642119686,0.8939393939393939,0.2877106891401748,0.07371184269607362
140,BSouth,12,1,Logged,13.177777777777777,932.8225159608887,0.9444444444444444,0.2775762748026455,0.02590125451738855
141,BSouth,12,2,Logged,13.600000000000001,890.2009134606511,0.9642857142857143,0.29379133774269256,0.024699895830353633
142,BSouth,12,3,Logged,12.763636363636364,747.3389109148806,0.9272727272727272,0.26167154799542247,0.020673099611121633
143,BSouth,12,4,Logged,13.555555555555555,688.1659937579684,0.8888888888888888,0.2920844890121612,0.019005215395288648
144,BSouth,13,1,Logged,8.466666666666667,197.86699888011674,1.0,0.09665030936633238,0.005185346545033382
145,BSouth,13,2,Logged,8.700000000000001,210.10528517924627,1.0,0.10561126520162152,0.005530302405381376
146,BSouth,13,3,Logged,10.366666666666665,216.1697565576781,1.0,0.16961809259654353,0.0057012393234081695
147,BSouth,13,4,Logged,10.533333333333333,233.00638216873554,1.0,0.1760187753360358,0.0061758068021435285
148,BSouth,14,1,Logged,11.18,874.4347332428083,0.9777777777777777,0.20085342436526557,0.024255500583460748
149,BSouth,14,2,Logged,11.745454545454544,1053.9076072565526,0.9636363636363636,0.22256919525961547,0.02931423333013148
150,BSouth,14,3,Logged,10.820000000000002,1299.1725430859467,0.9238095238095239,0.1870279496479625,0.036227421572691376
151,BSouth,14,4,Logged,11.433333333333332,1254.4111387263044,0.9242424242424242,0.21058246212929368,0.03496574911513798
152,BSouth,15,1,Logged,11.364,1232.3554615497978,0.95,0.207919778109665,0.03434407424089349
153,BSouth,15,2,Logged,12.108000000000002,1526.9037827748834,0.9466666666666667,0.2364924258587583,0.04264639427809376
154,BSouth,15,3,Logged,11.823529411764705,918.5885800856626,0.9558823529411765,0.22556758995469312,0.025500048051387992
155,BSouth,15,4,Logged,12.274999999999999,944.9903104291459,0.9666666666666667,0.24290590996372935,0.026244223451661133
156,BSouth,16,1,Logged,14.445454545454549,2381.3492110488655,0.9437229437229437,0.3262602556393895,0.06673031833628694
157,BSouth,16,2,Logged,15.554166666666667,3092.091761468264,0.9347826086956522,0.3688393428632387,0.08676374474691843
158,BSouth,16,3,Logged,15.4625,3305.7396759251415,0.9173387096774194,0.3653189673565179,0.09278575619048703
159,BSouth,16,4,Logged,15.91875,3645.8567372809966,0.9173387096774194,0.38284083635587784,0.10237250474754485
160,BSouth,17,1,Logged,7.900000000000001,93.42770481343999,1.0,0.07488798805205892,0.0022415564049489732
161,BSouth,17,2,Logged,8.524999999999999,128.39437621057394,1.0,0.09889054832515459,0.0032271484985218995
162,BSouth,17,3,Logged,8.350000000000001,189.9354692801814,0.8333333333333334,0.09216983144868789,0.004961783576318074
163,BSouth,17,4,Logged,8.325,190.27071668020022,0.8333333333333334,0.09120972903776398,0.004971233065607367
164,BSouth,18,1,Logged,10.7,524.62313846061,0.8666666666666667,0.18241945807552798,0.014395495948140205
165,BSouth,18,2,Logged,11.31111111111111,547.1902586373982,0.8888888888888888,0.20588862812033273,0.015031586669168215
166,BSouth,18,3,Logged,11.6875,559.4654606259305,0.8571428571428572,0.22034350330701935,0.015377583057829328
167,BSouth,18,4,Logged,11.433333333333335,394.02057086010177,0.8,0.21058246212929382,0.010714251697995903
168,BSouth,19,1,Logged,12.585714285714285,495.7551619882314,0.9523809523809523,0.2548386113566399,0.01358180541850753
169,BSouth,19,2,Logged,12.633333333333333,685.5865765238718,0.9722222222222222,0.25666737785363763,0.018932510355593055
170,BSouth,19,3,Logged,14.207692307692309,1542.2118438210491,0.9871794871794872,0.3171292117313026,0.04307787669641366
171,BSouth,19,4,Logged,14.69090909090909,1563.461442725758,1.0,0.3356867156739141,0.04367683095300308
172,BSouth,20,1,Logged,9.3,437.2182280143368,1.0,0.12865372306379347,0.011931847415601946
173,BSouth,20,2,Logged,9.044444444444444,536.0614068467083,1.0,0.1188393428632387,0.014717902011830547
174,BSouth,20,3,Logged,11.09,964.5842802558268,1.0,0.19739705568593977,0.02679651112936288
175,BSouth,20,4,Logged,11.42,974.7540200938123,1.0,0.21007040751013437,0.027083161667647564
176,BSouth,21,1,Logged,12.511111111111113,1204.493070792685,0.9722222222222222,0.25197354384467674,0.03355872776835219
177,BSouth,21,2,Logged,13.233333333333334,1421.867890772603,0.9722222222222222,0.27970983571580965,0.03968578806187518
178,BSouth,21,3,Logged,15.1125,2079.7973033692456,0.9642857142857143,0.35187753360358437,0.05823059090626261
179,BSouth,21,4,Logged,15.9,2606.0806288319873,0.9642857142857143,0.382120759547685,0.0730647362174992
180,BSouth,22,1,Logged,10.233333333333333,462.6478175462302,0.9166666666666666,0.1644975464049498,0.012648621457396881
181,BSouth,22,2,Logged,10.177777777777779,548.0900712594906,0.9166666666666666,0.1623639854917858,0.01505694934083802
182,BSouth,22,3,Logged,12.071428571428571,806.2704154694082,0.9523809523809523,0.2350879331890639,0.022334179222950515
183,BSouth,22,4,Logged,12.285714285714286,902.05081664256,0.9523809523809523,0.24331738242555392,0.025033904485425425
184,BSouth,23,1,Logged,11.416666666666666,616.638477668698,0.9333333333333333,0.2099423938553445,0.016989096859731573
185,BSouth,23,2,Logged,11.642857142857142,777.541527166932,0.9523809523809523,0.21862903471608391,0.021524409117970458
186,BSouth,23,3,Logged,12.436363636363637,1290.957192471333,0.9454545454545454,0.24910293461605598,0.03599585865039514
