subplotx,Actinodaphne angustifolia,Actinodaphne borneensis,Actinodaphne indet,Adinandra borneensis,Adinandra dumosa,Aglaia indet,Aglaia leptantha,Aglaia macrocarpa,Aglaia oligophylla,Aglaia palembanica,Aglaia silvestris,Alangium havilandii,Alangium javanicum,Alphonsea javanica,Alseodaphne bancana,Alseodaphne oblanceolata,Alstonia angustiloba,Alstonia iwahigensis,Anisophyllea indet,Anisoptera costata,Antiaris toxicaria,Antidesma leucopodum,Antidesma neurocarpum,Antidesma stipulare,Aporosa acuminata,Aporosa benthamiana,Aporosa falcifera,Aporosa frutescens,Aporosa grandistipula,Aporosa granularis,Aporosa indet,Aporosa lucida,Aporosa nervosa,Aquilaria beccariana,Archidendron clypearia,Archidendron ellipticum,Ardisia macrophylla,Artocarpus anisophyllus,Artocarpus integer,Artocarpus odoratissimus,Artocarpus tamaran,Baccaurea angulata,Baccaurea lanceolata,Baccaurea latifolia,Baccaurea macrocarpa,Baccaurea odoratissima,Baccaurea pubera,Baccaurea tetrandra,Barringtonia indet,Barringtonia lanceolata,Barringtonia macrostachya,Barringtonia sarcostachys,Beilschmiedia micrantha,Blumeodendron kurzii,Blumeodendron tokbrai,Bridelia glauca,Bridelia pustulata,Brownlowia peltata,Buchanania sessilifolia,Callicarpa pentandra,Calophyllum blancoi,Calophyllum gracilipes,Calophyllum pyriforme,Calophyllum soulattri,Calophyllum woodii,Campylospermum serratum,Canarium decumanum,Canarium denticulatum,Canarium odontophyllum,Canarium pilosum,Canarium tomentosum,Carallia borneensis,Carallia brachiata,Casearia kostermansii,Castanopsis evansii,Castanopsis hypophoenicea,Castanopsis inermis,Cephalomappa malloticarpa,Chionanthus curvicarpus,Chionanthus macrocarpus,Chionanthus pluriflorus,Chisocheton ceramicus,Chisocheton macranthus,Chisocheton patens,Chisocheton pentandrus,Chisocheton sarawakanus,Cleistanthus erycibifolius,Cleistanthus indet,Cleistanthus myrianthus,Cleistanthus paxii,Cleistanthus pubens,Cleistanthus rufescens,Cowiea borneensis,Cratoxylum arborescens,Cratoxylum cochinchinense,Cratoxylum sumatranum,Croton griffithii,Croton oblongus,Croton pendulus,Crudia indet,Crudia subsimplicifolia,Crudia tenuipes,Crypteronia griffithii,Cryptocarya erectinervia,Cryptocarya ferrea,Cryptocarya impressa,Cryptocarya nigra,Cryptocarya nitens,Dacryodes costata,Dacryodes laxa,Dacryodes macrocarpa,Dacryodes rostrata,Dacryodes rugosa,Dasymaschalon ellipticum,Decaspermum humile,Decaspermum parviflorum,Dehaasia caesia,Dendrocnide elliptica,Dialium indum,Dialium kunstleri,Dialium platysepalum,Dillenia borneensis,Dimocarpus longan,Diospyros curranii,Diospyros elliptifolia,Diospyros indet,Diospyros macrophylla,Diospyros pilosanthera,Diplodiscus paniculatus,Diplodiscus parviflorus,Diplospora malaccensis,Dipterocarpus applanatus,Dipterocarpus caudiferus,Dipterocarpus confertus,Dipterocarpus gracilis,Dipterocarpus indet,Dipterocarpus kunstleri,Dracontomelon costatum,Dryobalanops lanceolata,Drypetes castilloi,Drypetes crassipes,Drypetes longifolia,Drypetes polyneura,Duabanga moluccana,Durio grandiflorus,Durio graveolens,Durio oxleyanus,Dysoxylum cauliflorum,Dysoxylum cyrtobotryum,Dysoxylum densiflorum,Dysoxylum excelsum,Elaeocarpus floribundus,Elaeocarpus glaber,Elaeocarpus pedunculatus,Elaeocarpus stipularis,Endiandra micrantha,Endiandra rubescens,Endospermum diadenum,Endospermum peltatum,Enicosanthum grandiflorum,Enicosanthum paradoxum,Eusideroxylon zwageri,Ficus annulata,Ficus beccarii,Ficus caulocarpa,Ficus geocharis,Ficus hispida,Ficus lepicarpa,Ficus microcarpa,Ficus septica,Ficus treubii,Ficus uncinata,Ficus variegata,Flacourtia rukam,Fordia brachybotrys,Fordia splendidissima,Garcinia benthamiana,Garcinia forbesii,Garcinia indet,Garcinia mangostana,Garcinia nervosa,Garcinia parvifolia,Garcinia scortechinii,Gironniera nervosa,Glochidion borneensis,Glochidion elmeri,Glochidion glomerulatum,Glochidion indet,Glochidion lutescens,Glochidion rubrum,Gluta aptera,Gluta indet,Gluta wallichii,Gymnacranthera forbesii,Harpullia arborea,Heritiera elata,Heritiera simplicifolia,Homalium foetidum,Hopea plagata,Hopea sangal,Horsfieldia borneensis,Horsfieldia crassifolia,Horsfieldia splendida,Hydnocarpus anomala,Hydnocarpus anomalus,Hydnocarpus borneensis,Hydnocarpus polypetalus,Indet indet,Intsia bijuga,Ixonanthes petiolaris,Jackiopsis indet,Knema indet,Knema latericia,Knema laurina,Knema oblongata,Knema pulchra,Koilodepas longifolium,Koompassia excelsa,Koordersiodendron pinnatum,Licania splendens,Lindera lucida,Lithocarpus blumeanus,Lithocarpus echinifer,Lithocarpus elegans,Lithocarpus gracilis,Lithocarpus indet,Lithocarpus leptogyne,Lithocarpus lucidus,Lithocarpus nieuwenhuisii,Lithocarpus orocola,Lithocarpus revolutus,Lithocarpus sundaicus,Lithocarpus urceolaris,Litsea accedens,Litsea angulata,Litsea caesia,Litsea castanea,Litsea caulocarpa,Litsea cuprea,Litsea elliptica,Litsea erectinervia,Litsea ferruginea,Litsea ficoidea,Litsea firma,Litsea garciae,Litsea grandis,Litsea indet,Litsea lancifolia,Litsea mappacea,Litsea oppositifolia,Litsea rubiginosa,Lophopetalum beccariana,Lophopetalum beccarianum,Lophopetalum indet,Lophopetalum javanicum,Ludekia borneensis,Maasia glauca,Maasia sumatrana,Macaranga bancana,Macaranga conifera,Macaranga gigantea,Macaranga hypoleuca,Macaranga indistincta,Macaranga pearsonii,Macaranga winkleri,Madhuca kingiana,Madhuca korthalsii,Madhuca spectabilis,Magnolia borneensis,Magnolia liliifera,Mallotus indet,Mallotus korthalsii,Mallotus lackeyi,Mallotus leucodermis,Mallotus mollissimus,Mallotus muticus,Mallotus paniculatus,Mallotus peltatus,Mallotus penangensis,Mallotus philippensis,Mallotus stipularis,Mallotus wrayi,Mastixia trichotoma,Melanochyla auriculata,Melanochyla bullata,Melicope accedens,Melicope confusa,Melicope hookeri,Melicope lunu-ankenda,Meliosma sumatrana,Mesua borneensis,Microcos antidesmifolia,Microcos crassifolia,Microcos indet,Microcos sumatrana,Microcos triflora,Miliusa macropoda,Monoon xanthopetalum,Myristica cinnamomea,Myristica maxima,Myristica smythiesii,Nauclea officinalis,Nauclea subdita,Neesia strigosa,Neesia synandra,Neo-uvaria acuminatissima,Neolamarckia cadamba,Neonauclea gigantea,Neoscortechinia kingii,Neoscortechinia philippinensis,Nephelium Ramboutan-ake,Nephelium cuspidatum,Nephelium mangayi,Nephelium ramboutan-ake,Nephelium rambutan,Nephelium uncinatum,Nothaphoebe umbelliflora,Ochanostachys amentacea,Octomeles sumatrana,Oreocnide trinervis,Orophea myriantha,Palaquium dasyphyllum,Palaquium indet,Palaquium obovatum,Palaquium rostratum,Palaquium sericeum,Paranephelium joannis,Paranephelium macrophyllum,Paranephelium xestophyllum,Parartocarpus bracteata,Parashorea malaanonan,Parashorea tomentella,Parinari oblongifolia,Parishia insignis,Payena acuminata,Pentace adenophora,Pentace erectinervia,Pentace laxiflora,Phaeanthus splendens,Phoebe grandis,Planchonia brevistipitata,Planchonia grandis,Planchonia valida,Pleiocarpidia polyneura,Pleiocarpidia sandakanica,Polyalthia cauliflora,Polyalthia indet,Polyalthia rumphii,Polyalthia xanthopetala,Pometia pinnata,Popowia hirta,Praravinia indet,Praravinia subtomentosa,Prunus beccarii,Prunus javanica,Prunus polystachya,Pseuduvaria borneensis,Pseuduvaria reticulata,Psydrax dicoccos,Pternandra caerulescens,Pternandra cogniauxii,Pterocymbium tinctorium,Pterospermum elongatum,Pterospermum javanicum,Pterygota alata,Ptychopyxis bacciformis,Quercus argentata,Quercus merrillii,Reinwardtiodendron humile,Rinorea indet,Rothmannia schoemanii,Sageraea elliptica,Santiria apiculata,Santiria griffithii,Santiria laevigata,Saraca declinata,Sarcotheca diversifolia,Scaphium longipetiolatum,Scaphium macropodum,Semecarpus bunburyana,Shorea almon,Shorea angustifolia,Shorea argentifolia,Shorea beccariana,Shorea bracteolata,Shorea dasyphylla,Shorea faguetiana,Shorea falciferoides,Shorea fallax,Shorea gibbosa,Shorea guiso,Shorea indet,Shorea johorensis,Shorea laevis,Shorea leprosula,Shorea leptoderma,Shorea macrophylla,Shorea macroptera,Shorea ovalis,Shorea ovata,Shorea parvifolia,Shorea parvistipulata,Shorea pauciflora,Shorea pilosa,Shorea seminis,Shorea symingtonii,Shorea xanthophylla,Sindora irpicina,Sindora velutina,Sloanea javanica,Sterculia coccinea,Sterculia cuspidata,Sterculia parviflora,Sterculia rubiginosa,Sterculia stipulata,Strombosia ceylanica,Symplocos fasciculata,Symplocos odoratissima,Syzygium antisepticum,Syzygium borneense,Syzygium caudatilimbum,Syzygium chloranthum,Syzygium claviflorum,Syzygium creaghii,Syzygium elliptilimbum,Syzygium fastigiatum,Syzygium grande,Syzygium havilandii,Syzygium hirtum,Syzygium indet,Syzygium kunstleri,Syzygium leucocladum,Syzygium linearicarpum,Syzygium lineatum,Syzygium longiflorum,Syzygium memecylon,Syzygium myrtifolium,Syzygium napiforme,Syzygium palawanense,Syzygium racemosum,Syzygium rheophyticum,Syzygium tawahense,Syzygium tenuicaudatum,Teijsmanniodendron bogoriense,Terminalia foetidissima,Trema orientalis,Trichadenia zeylanica,Trigoniastrum hypoleucum,Trigonobalanus verticillata,Trigonopleura malayana,Tristaniopsis obovata,Tristaniopsis whiteana,Tristiropsis acutangula,Turpinia sphaerocarpa,Urophyllum congestifolium,Urophyllum griffithianum,Vatica albiramis,Vatica dulitensis,Vatica odorata,Vatica sarawakensis,Vatica umbonata,Vitex pinnata,Vitex vestita,Xanthophyllum ellipticum,Xanthophyllum flavescens,Xanthophyllum indet,Xylopia ferruginea,Xylopia stenopetala
B_North1,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,
B_North10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
B_North12,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,5.0,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
B_North13,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,2.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_North14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,
